first_para,second_para,energy
0.25,0.1,0.17322943910542027
0.5,0.1,0.17321853747012905
0.75,0.1,0.17321776020368276
1.0,0.1,0.1732435730187622
1.25,0.1,0.173209382156976
1.5,0.1,0.17321736597175127
1.75,0.1,0.17325541313932424
2.0,0.1,0.1732953901028082
2.25,0.1,0.1732194216511571
2.5,0.1,0.17321478795040712
2.75,0.1,0.1732303072698449
3.0,0.1,0.17323153940626046
3.25,0.1,0.17322985715327768
3.5,0.1,0.1732401923902845
3.75,0.1,0.17322158692701578
4.0,0.1,0.1732385858041088
4.25,0.1,0.17341495917935715
4.5,0.1,0.17325611387552667
4.75,0.1,0.173252083331521
0.25,0.15000000000000002,0.17322491891768577
0.5,0.15000000000000002,0.17321157345275875
0.75,0.15000000000000002,0.17328006071150917
1.0,0.15000000000000002,0.17322627704512594
1.25,0.15000000000000002,0.17321764754341673
1.5,0.15000000000000002,0.17324853674373492
1.75,0.15000000000000002,0.17323519370111085
2.0,0.15000000000000002,0.17323109978059886
2.25,0.15000000000000002,0.1732478595654005
2.5,0.15000000000000002,0.17322857919518925
2.75,0.15000000000000002,0.17325640279369486
3.0,0.15000000000000002,0.17324219673661562
3.25,0.15000000000000002,0.17323375854472992
3.5,0.15000000000000002,0.17323431778900217
3.75,0.15000000000000002,0.17325644478873722
4.0,0.15000000000000002,0.17323196797812676
4.25,0.15000000000000002,0.1732524891739305
4.5,0.15000000000000002,0.17325872815141982
4.75,0.15000000000000002,0.17327702644746515
0.25,0.20000000000000004,0.17322236924552833
0.5,0.20000000000000004,0.17323668697436143
0.75,0.20000000000000004,0.17320896353070492
1.0,0.20000000000000004,0.17322196823554176
1.25,0.20000000000000004,0.1732215966614175
1.5,0.20000000000000004,0.17322126400639082
1.75,0.20000000000000004,0.1732169980396301
2.0,0.20000000000000004,0.17323073573649195
2.25,0.20000000000000004,0.17322641668093855
2.5,0.20000000000000004,0.1732315231647997
2.75,0.20000000000000004,0.17323163794071778
3.0,0.20000000000000004,0.1732412559989457
3.25,0.20000000000000004,0.17322775274356844
3.5,0.20000000000000004,0.173298580671579
3.75,0.20000000000000004,0.1733015214081975
4.0,0.20000000000000004,0.1732538913835272
4.25,0.20000000000000004,0.17325545656379998
4.5,0.20000000000000004,0.17322218936143138
4.75,0.20000000000000004,0.1732457693797433
0.25,0.25000000000000006,0.17321317606713674
0.5,0.25000000000000006,0.17321229766539437
0.75,0.25000000000000006,0.17323087511743612
1.0,0.25000000000000006,0.17322208999407518
1.25,0.25000000000000006,0.17322686357286005
1.5,0.25000000000000006,0.1732127394692521
1.75,0.25000000000000006,0.1732352404281917
2.0,0.25000000000000006,0.17321184152318345
